collection_date,positive_result,positive_tests,total_tests,positivity,positivity_7day
2022-07-02,FluA,23,8906,0.0025825286323826633,0.0031759963856916465
2022-07-03,COVID,2722,7953,0.342260782094807,0.30306205126979463
2022-07-03,FluA,28,7953,0.00352068401860933,0.0032081876276745763
2022-07-04,COVID,177,565,0.31327433628318585,0.29828743799403784
2022-07-05,COVID,4932,14310,0.34465408805031444,0.3016457144111508
2022-07-05,FluA,42,14310,0.0029350104821802936,0.0031780366371674277
2022-07-06,COVID,3789,12630,0.3,0.3049944513562801
2022-07-06,FluA,34,12630,0.0026920031670625497,0.003030997604204299
2022-07-07,COVID,3598,12659,0.28422466229559995,0.3051244062594275
2022-07-07,FluA,24,12659,0.0018958843510545856,0.002831057597167497
2022-07-08,COVID,3448,11556,0.29837313949463484,0.30817267805322796
2022-07-08,FluA,27,11556,0.002336448598130841,0.0026141751753775036
2022-07-09,COVID,2670,8546,0.3124268663702317,0.31360198208411055
2022-07-09,FluA,17,8546,0.0019892347296981043,0.00256454199701691
2022-07-10,COVID,2697,7266,0.3711808422791082,0.31773341925329646
2022-07-10,FluA,15,7266,0.002064409578860446,0.0024905249893708787
2022-07-11,COVID,4232,11952,0.35408299866131193,0.32356322816445726
2022-07-11,FluA,16,11952,0.0013386880856760374,0.0021788112846661224
2022-07-12,COVID,3862,11518,0.3353012675811773,0.32222711095458056
2022-07-12,FluA,23,11518,0.001996874457371071,0.0020447918525505196
